sentiment,sentiment_label,Cleaned_Tweet
negative,0,disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego
neutral,1,rt   siapa yang telat ngasih tau eluedan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga
neutral,1,41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
negative,0,aku itu akunnku tau matamu sipit tapi diliat dari mana itu aku
negative,0,kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah
neutral,1,ya bani taplak dkk xf0x9fx98x84xf0x9fx98x84xf0x9fx98x84
negative,0,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon
neutral,1,gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd
neutral,1,nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw ð  doket mano tu  gerai rojak mertuaku  taipan 2 depan twins baby amp romantika  bank islam senawang ð
negative,0,enak lg klo smbil ngewe
neutral,1,setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xf0x9fx98x8f
negative,0,banci kaleng malu ga bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe
neutral,1,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi
negative,0,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata
negative,0,bu guru enakan jadi jablay atau guru esde sihnkayaknya menikmati jadi pecun ini guru
neutral,1,lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar
negative,0,belakangan ini kok fikiran ampas banget ya
neutral,1,ari sarua beki mah repeh monyetxf0x9fx98x86xf0x9fx98x86
neutral,1,jadi cowo itu harus gantle kalo ga gantle itu namanya banci
neutral,1,slga mnr bom xf0x9fx98x82
negative,0,asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin
negative,0,kalo kamu noob pasti peluang disakitin nya lebih gede si
negative,0,joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g
negative,0,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai
positive,2,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan
neutral,1,siapapun gubernur dan presidennya rakyatnya ya kitaâ² juga
negative,0,ini si  kerjaannya delay mulu setan
neutral,1,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget
negative,0,rt    pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong
neutral,1,itu mah sdh neneknenek sy heran sama cebong biasay bohong terus
neutral,1,islam nusantara produk jil dipasarkan dg gencar oleh antekxc2xb2 jilnnsementara jil anti arab tapi pro asengnnkata alm kh hasyim muzadi
neutral,1,dari habis sahur sampe jam 10 sibayik udah nete 4x skg rasanya lemas tak terkira xf0x9fxa4xa2
neutral,1,gak kak emak mah gak demen ama yang sipit wkwk
negative,0,rt  kelakuan homok jaman now ngentot aja sambil live di blued
negative,0,ga kak gua bukan orang jawa maaf yak   gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang
negative,0,pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari
neutral,1,xe2x80x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipatxe2x80x9dsanji
negative,0,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri
neutral,1,presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk
neutral,1,edan emang goollnya fabiano
neutral,1,gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw
neutral,1,sangat terlihat beda sekali kewibawaannya  yg sangat berwibawa cuma gubernur indonesia   massya allah
negative,0,anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus
neutral,1,rt  keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kitaâ tutur djarot di hadapan peserta rakercabsuâ
neutral,1,apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sundajawa ada hkbp juga kurang nusantara apa
negative,0,ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat
neutral,1,positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornn
neutral,1,kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindunnistilahxc2xa0sembahyangxc2xa0pun lahir dari tradisi ritusxc2xa0menyembahhyang yang tunggal sama denganxc2xa0shalat menyembah all
negative,0,kau pendikan tinggi tapi bodohgk ada larang bawa agamabiar orang islam yg di bayar ahok sadar gk jadi milih ahok gla
negative,0,btp the best abaikan kaum kampret otak micin
neutral,1,si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe
neutral,1,awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu brt ini plng sambil ky nhn ngedendungu xf0x9fx98x8b
negative,0,pinokio umur 3 taonan tuh
neutral,1,cerita silat lae xf0x9fx98x80 semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china
neutral,1,rt  benci sekali dgn umat islam
neutral,1,provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita
negative,0,dari pada gua nete
negative,0,lol bani lowo
neutral,1,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah beratus2 th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof  mari kita demo diri sendi
negative,0,a orang yang suka ke konserkonser sedikit boros
neutral,1,sampai kapan makan racun   _ banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ
neutral,1,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat  no 1 bisa  baguss
negative,0,udah biasa kali gue kpoper tapi kalo ngomonv sama temen2 gue idol gua banci homo
positive,2,saya suka video   awal kisah perseteruan haji bolot amp malih tongtong
neutral,1,budaya kafir bersungguh klau hal2 islam tidak diendahkan
positive,2,xf0x9fx8exb6 la la lahm hmm xf0x9fx8exa7 semua diam semua bisunkita coba tanya sama rumput yg bergoyang nxe2x99xabxe2x99xabxe2x99xabxe2x99xaaxe2x99xaaxe2x99xaa
neutral,1,apabila setan membisikkan waswas kepadamu mintalah perlindungan kepada allah qs alaxe2x80x99raf 200 dan fushilat 36
negative,0,klw ente atheisngapain sibuk dgn agama orang
neutral,1,lengserkan jokowi bangsat
negative,0,selamat hari kartini
positive,2,rt  bajingan homonhati2 terhadap anak2 kita terutama di kamar mandi laki2 jgn biarkan sendiri
negative,0,iya cocot
neutral,1,karena budaya indonesia
neutral,1,yang ngajarin solata ajah itu orang aseng dia hanya ingin memecah belah islam
negative,0,x  lo ngomong aja kaga bener bangke
neutral,1,kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja
negative,0,tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo
negative,0,kalo seumpama orang cina di usir paksa dari indonesia gimana
negative,0,bunda ngentot yuk
neutral,1,rt  china babi china malingn
neutral,1,bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena keboohannya nnkalau kami keliru kami tutup akun
neutral,1,proyek korupsi rezim sby
neutral,1,wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara
neutral,1,ab pribadi yg senang berkompetisi dalam hal yang baik dan positif
neutral,1,terus menurut lo kitab suci agama apa yg di bilang om
negative,0,suka nutup mata kaga ditutup pun udah terlihat tertutup gara2 sipit
neutral,1,sy sbg muslim tdk merasa pak  menistakan kitab suci alquran krn dlm alquran sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm
positive,2,eh kasar kau kampang
negative,0,bentar lagi gua rilis album the ontas wkwkwkwkwk
neutral,1,ada cebong bang dia merasa paling benar
negative,0,najis banget gw ngetwit apa barusan wey
negative,0,kamu transgender atau gmn anjing
negative,0,awas bintitan lu ngintipin titit kucing
negative,0,bawel baper bolot baik bodor  gaje wkwk apa ya udah itu aja deh
neutral,1,gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh
negative,0,jgn salah target bkn ahok agenda utama lengserkan jokowi
negative,0,masa baru kena hestek aja udah kepanasan  kepo banget
neutral,1,maju lu sini duit tapi kau goyang kaki tak buat pape  mana la duit nak maju kat kau bodo
neutral,1,hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belandadl tdk ada yg namanya kristen protestan yg ada cm kristen khatoliknterjadilah perpecahan dan berdirilah hkbp yg prtama kali di tarutungnnnah skrg anda sy k
negative,0,ha  ha  banyak baca biar pintar  jepang amerika china utang sama siapa  anda tau enggak
neutral,1,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
neutral,1,dan yang takut dengan adzan adalah iblis
neutral,1,yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal
positive,2,wuih cebong sewotnxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
neutral,1,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
neutral,1,padahal gubernur saat ini djarot mayoritas partai politik di dprd juga pendukung ahok djarot payah ya mereka
neutral,1,rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya
negative,0,saat orang orang saling menuding antek aseng aseng sesungguhnya bertepuk tangan
negative,0,nah loh katanya anti aseng
neutral,1,selamat pak  semoga bisa terus berkiprah bahkan tingkat nasional
negative,0,saya sih ikut ulama saja
